1447483231.791482 
1447483232.100243 N
1447483234.958926 o
1447483235.062928 w
1447483235.270812 " "
1447483235.422701 i
1447483236.671081 s
1447483237.383037 " "
1447483237.518947 t
1447483237.615147 h
1447483237.750941 e
1447483237.887046 " "
1447483238.094649 t
1447483238.222889 i
1447483238.382888 m
1447483238.462925 e
1447483238.67906 " "
1447483239.015057 f
1447483239.143102 o
1447483239.222972 r
1447483239.36697 " "
1447483239.487045 m
1447483239.670874 i
1447483239.85492 l
1447483240.006961 l
1447483240.222878 i
1447483240.342905 o
1447483240.478893 n
1447483240.630759 s
1447483240.766396 " "
1447483240.910751 o
1447483241.222711 g
1447483241.646942 
1447483245.254866 w
1447483245.422714 o
1447483245.534492 r
1447483245.646238 k
1447483245.822649 i
1447483245.934701 n
1447483245.998761 g
1447483246.214749 " "
1447483247.502526 f
1447483247.646715 a
1447483247.846646 m
1447483248.142493 i
1447483248.39864 l
1447483248.606503 i
1447483249.326313 e
1447483249.542686 s
1447483249.814199 " "
1447483250.254608 t
1447483250.390438 o
1447483250.606546 " "
1447483250.806623 c
1447483250.950724 o
1447483251.062513 m
1447483251.194211 e
1447483251.350393 " "
1447483251.494245 t
1447483251.606482 o
1447483251.902567 g
1447483252.062588 e
1447483252.270559 t
1447483252.334449 h
1447483252.462414 e
1447483252.670381 r
1447483253.838767 t
1447483254.062462 o
1447483255.669774 r
1447483255.902362 e
1447483256.086383 v
1447483256.246269 i
1447483256.478317 t
1447483256.913672 i
1447483257.094325 l
1447483257.366424 i
1447483257.558362 z
1447483257.806234 e
1447483258.60622 " "
1447483258.949862 
1447483259.134163 A
1447483259.374277 m
1447483259.68618 e
1447483259.894254 r
1447483260.046146 i
1447483260.134189 c
1447483260.333807 a
1447483260.470204 n
1447483261.070216 " "
1447483261.237897 
1447483261.774156 d
1447483261.909959 e
1447483262.069977 m
1447483262.42212 o
1447483262.782099 c
1447483262.950116 r
1447483263.141989 a
1447483263.294148 c
1447483263.43088 y
1447483265.909575 t
1447483266.101892 o
1447483269.021855 e
1447483269.205845 n
1447483269.333884 d
1447483269.661309 " "
1447483269.829643 t
1447483269.941862 h
1447483270.061871 e
1447483270.253881 " "
1447483270.501924 c
1447483270.701646 o
1447483270.957612 l
1447483271.125809 l
1447483271.293685 a
1447483271.437822 p
1447483271.6618 s
1447483271.853878 e
1447483272.309571 " "
1447483272.557651 o
1447483272.685673 f
1447483272.885811 " "
1447483272.981804 t
1447483273.117798 h
1447483273.21378 e
1447483273.373758 " "
1447483273.909284 
1447483274.055867 A
1447483274.237863 m
1447483274.413762 e
1447483274.621617 r
1447483274.78973 i
1447483274.869744 c
1447483275.077484 a
1447483275.189699 n
1447483275.429385 " "
1447483275.605729 m
1447483275.749763 i
1447483275.933306 d
1447483276.157713 d
1447483276.349578 l
1447483276.509454 e
1447483276.733686 " "
1447483276.893633 c
1447483277.029586 l
1447483277.149569 a
1447483277.341647 s
1447483277.525797 s
1447483277.861624 " "
1447483277.997522 a
1447483278.11789 n
1447483278.253504 d
1447483278.477616 " "
1447483278.613643 t
1447483278.73359 o
1447483278.885428 " "
1447483279.045555 m
1447483279.141562 a
1447483279.253514 k
1447483279.405436 e
1447483279.58158 " "
1447483279.965578 c
1447483280.141588 e
1447483280.365408 r
1447483280.541332 t
1447483280.773561 a
1447483280.861448 i
1447483280.97344 n
1447483281.205451 " "
1447483281.349467 t
1447483281.477474 h
1447483281.597417 a
1447483281.725502 t
1447483281.861471 " "
1447483281.981257 o
1447483282.133479 u
1447483282.261449 r
1447483282.469478 " "
1447483282.59747 c
1447483282.733514 h
1447483282.87747 i
1447483283.045308 l
1447483283.165281 d
1447483283.48539 e
1447483283.701036 r
1447483283.917456 e
1447483284.101453 n
1447483284.54136 " "
1447483284.645172 a
1447483284.797306 n
1447483284.901201 d
1447483285.141394 " "
1447483285.533392 g
1447483285.684871 r
1447483285.869158 a
1447483286.022092 n
1447483286.132857 d
1447483287.053276 c
1447483287.165407 h
1447483287.308209 i
1447483287.557293 l
1447483289.309058 d
1447483289.789136 e
1447483289.973175 r
1447483290.133205 e
1447483290.277152 n
1447483290.533206 " "
1447483290.820583 a
1447483291.037203 r
1447483291.237124 e
1447483291.373329 " "
1447483291.46911 a
1447483291.572976 b
1447483291.717103 l
1447483291.853188 e
1447483292.061175 " "
1447483292.189187 t
1447483292.333323 o
1447483292.596972 " "
1447483292.797115 e
1447483292.941092 n
1447483293.141135 j
1447483293.26102 o
1447483293.47711 y
1447483293.75714 " "
1447483294.085095 a
1447483294.308958 " "
1447483294.549095 q
1447483294.796889 u
1447483294.869241 a
1447483295.052957 l
1447483296.668594 i
1447483296.83696 t
1447483297.380601 y
1447483297.596994 " "
1447483298.212668 o
1447483298.452244 f
1447483298.604782 " "
1447483298.72492 l
1447483298.900958 i
1447483299.005021 f
1447483299.12473 e
1447483299.428522 " "
1447483299.980848 t
1447483300.09288 h
1447483300.276851 a
1447483300.324673 t
1447483300.51668 " "
1447483301.196714 b
1447483301.340751 r
1447483301.47687 i
1447483301.580831 n
1447483301.684879 g
1447483301.900798 s
1447483302.300811 " "
1447483302.540817 t
1447483302.676762 h
1447483302.796638 e
1447483303.220775 m
1447483303.412724 " "
1447483303.700604 h
1447483303.84478 e
1447483304.076452 a
1447483304.220701 l
1447483304.450125 t
1447483304.612737 h
1447483305.276729 ,
1447483305.58048 " "
1447483305.772744 p
1447483305.988643 r
1447483306.100495 o
1447483306.284647 p
1447483306.604538 e
1447483307.820618 r
1447483307.940441 i
1447483308.060427 t
1447483308.276608 y
